icao,regid,mdl,type,operator
008756,zs-ctp,sr20,Cessna 208B Grand Caravan,Private owner
008758,zs-ctr,pc12,Pilatus PC12/47E,Private owner
008810,zs-dat,pc12,Pilatus PC12/45,Federal Air
008840,zs-dcp,be20,Beech B200 Super King Air,Private owner
008876,zs-der,pc12,Pilatus PC12/45,Private owner
00887f,zs-dfa,e145,Embraer ERJ-145EP,Solenta Aviation
0088a0,zs-dgh,c208,Cessna 208B Grand Caravan,Private owner
0088b5,zs-dhc,dh8a,Bombardier Dash 8 Q100,Cemair
008ad6,zs-ecb,e135,Embraer ERJ-135BJ,Private owner
008c1f,zs-eos,a139,AgustaWestland AW139,Private owner
008c8f,zs-eta,e120,Embraer EMB-120ER Brasilia,Private owner
008cc7,zs-eve,b732,Boeing 737-230,Jet 4 Now
008ebe,zs-fon,be9l,Beech C90A King Air,Private owner
008f39,zs-ftg,pc12,Pilatus PC-12/47E,Private owner
008fea,zs-gab,md82,McDonnell Douglas MD-82,Global Aviation
008ff4,zs-gal,a320,Airbus A320-231,Fly Baghdad
008ff7,zs-gao,a320,Airbus A320-231,Global Aviation
008ffb,zs-gas,a320,Airbus A320-231,Global Aviation
008ffd,zs-gau,dc93,McDonnell Douglas DC-9-32,Velvet Sky
009123,zs-gmc,pc12,Pilatus PC12/45,Private owner
0094c1,zs-hvs,p28b,Piper PA-28-235,Private owner
009532,zs-iab,b732,Boeing 737-210C,Africa Charter Airline
009534,zs-iad,b732,Boeing 737-2X6C,Imperial Air Cargo
00969f,zs-ioc,j328,Dornier Do-328JET-310,Private owner
0096c6,zs-ipp,pc12,Pilatus PC12/45,Private owner
0096ef,zs-ire,b722,Boeing 727-2Q9F,SKA International
009714,zs-isp,sr22,Cirrus SR-22GTS,Private owner
009717,zs-iss,b350,Beech 300 Super King Air 350,Private owner
009795,zs-ixo,be36,Beech G36 Bonanza,Private owner
009826,zs-jdd,pc12,Pilatus PC-12/47,Private owner
009991,zs-jrc,b734,Boeing 737-42J,United Nations
009992,zs-jrd,b734,Boeing 737-4Y0,FlySafair
009993,zs-jre,b734,Boeing 737-4Y0,FlySafair
009997,zs-jri,b734,Boeing 737-4Q8,Safair
009999,zs-jrk,b734,Boeing 737-4Q8,Safair
00999a,zs-jrl,b734,Boeing 737-46M,FlySafair
0099ab,zs-jsc,be20,Beech B200 Super King Air,Private owner
0099b5,zs-jsm,js41,BAe Jetstream 41,Private owner
0099e9,zs-jum,c208,Cessna 208B Grand Caravan,Private owner
009a0d,zs-jvw,sr22,Cirrus SR22,Private owner
009a84,zs-kal,pc12,Pilatus PC12/47E,Private owner
009a98,zs-kbf,b350,Beech 300 Super King Air 350,Private owner
009aed,zs-kem,crj1,Canadair CL-600-2B19 Regional,Air Tanzania
009bb0,zs-klz,be9t,Beech F90 King Air,Private owner
009d20,zs-lad,b350,Beech 300 Super King Air 350,Private owner
009d89,zs-lee,pc12,Pilatus PC12/47E,Private owner
009db5,zs-lfw,be20,Beech B200 Super King Air,Private owner
009ee9,zs-lrs,be20,Beech B200C Super King Air,Private owner
009f98,zs-lyl,cvlt,Convair 580,Private owner
00a094,zs-mid,c208,Cessna 208B Grand Caravan,Private owner
00a0c9,zs-mke,b190,Beech 1900D,Solenta Aviation
00a0fa,zs-mmb,b350,Beech 300 Super King Air 350,Private owner
00a19b,zs-msg,pc12,Pilatus PC-12/47E,Private owner
00a217,zs-syo,rj85,Avro RJ85,Airlink
00a284,zs-nbf,crj7,Canadair CRJ-700,South African Express
00a285,zs-nbg,crj7,Canadair CRJ-700,South African Express
00a36d,zs-nke,e120,Embraer EMB-120ER Brasilia,Private owner
00a39f,zs-nmc,crj2,Canadair CL-600-2B19 Regional,South African Express Airways
00a3a0,zs-nmd,crj2,Canadair CL-600-2B19 Regional,South African Express Airways
00a3a1,zs-nme,crj2,Canadair CL-600-2B19 Regional,South African Express Airways
00a3a2,zs-nmf,crj2,Canadair CRJ-200,South African Express
00a3a3,zs-nmg,crj2,Canadair CL-600-2B19 Regional,South African Express Airways
00a3a4,zs-nmh,crj2,Canadair CRJ-200,South African Express
00a3a5,zs-nmi,crj2,Canadair CRJ-200,South African Express
