icao,regid,mdl,type,operator
0d81b6,yv2928,b734,Boeing 737-401,Avior Airlines
0d81bb,yv545t,b763,Boeing 767-3P6,SBA Airlines
0d81bc,yv2946,b734,Boeing 737-401,Avior Airlines
0d81bd,yv2944,e190,Embraer ERJ-190AR,Conviasa
0d81be,yv2943,e190,Embraer ERJ-190,Conviasa
0d81c0,yv2953,e190,Embraer ERJ-190AR,Conviasa
0d81c7,yv2964,e190,Embraer ERJ-190AR,Conviasa
0d81c8,yv2965,e190,Embraer ERJ-190AR,Conviasa
0d81c9,yv2966,e190,Embraer ERJ-190,Conviasa
0d81d0,yv2971,md83,McDonnell Douglas MD-83,Aserca Airlines
0d81dd,yv2990,md83,McDonnell Douglas MD-83,Aserca Airlines
0d81e1,yv2992,md82,McDonnell Douglas MD-82,Aeropostal
0d81e4,yv3012,b734,Boeing 737-401,Avior Airlines
0d81e5,yv3011,b734,Boeing 737-401,Avior Airlines
0d81e9,yv2998,b732,Boeing 737-232,Avior Airlines
0d81ec,yv3016,e190,Embraer Lineage 1000,Conviasa
0d81ee,yv3024,md83,McDonnell Douglas MD83,Aserca Airlines
0d8201,yv3001,b735,Boeing 737-5L9,Albatros Airlines
0d8203,yv560t,a30b,Airbus A300B4-203,Transcarga Airways
0d8205,yv3052,e190,Embraer ERJ-190AR,Conviasa
0d8207,yv3053,md82,McDonnell Douglas MD-82,LASER
0d8208,yv562t,a30b,Airbus A300B4-203,Transcarga Airways
0d8210,yv3071,e190,Embraer ERJ-190AR,Conviasa
0d822c,yv1465,be9l,Beech 65-E90 King Air,Private owner
0d822d,yv3097,md82,McDonnell Douglas MD-82,Aeropostal
0d823a,yv3145,md82,McDonnell Douglas MD-82,LASER
0d8242,yv3158,b734,,
0d824a,yv1106,b190,Beech 1900D,Private owner
0f7e66,zu-tjx,rv10,Amateur Vans RV-10,Private owner
100000,00000000,0000,Unknown / Various,Code used by several aircraft
10271e,ra-0217g,pa46,Piper PA46-350P Malibu Mirage,Private owner
111001,pr-gab,tbm8,Socata TBM-850,Private owner
11c233,hl8233,b738,Boeing 737-85P,Jeju Air
123000,n592ss,be55,Beech B55 Baron,Private owner
123456,00000000,0000,Unknown / Various,Code used by several aircraft
132768,rf-32768,ber2,Beriev BE-200,Ministry of Emergency Situatio
1405dc,ra-01500,pc12,Pilatus PC12/47,Dexter Air
1405de,ra-01502,pc12,Pilatus PC12/47,Dexter Air
1405df,ra-01503,pc12,Pilatus PC12/47,Dexter Air
1405e0,ra-01504,pc12,Pilatus PC12/47,Dexter Air
1405e1,ra-01505,pc12,Pilatus PC12/47E,Dexter Air
1405e3,ra-01507,pc12,Pilatus PC12/47E,Dexter Air
1405e4,ra-01508,pc12,Pilatus PC12/45,Dexter Air
1405e8,ra-01512,pc12,Pilatus PC12/47,Dexter Air
1405ea,ra-01514,pc12,Pilatus PC12/47,Dexter Air
1405eb,ra-01515,pc12,Pilatus PC12/47,Dexter Air
1405f0,ra-01520,p180,Piaggio P180 Avanti,Private owner
140719,ra-01817,p46t,Piper PA-46-500TP Malibu Merid,Private owner
140755,ra-01877,pa46,Piper PA46-350P Malibu Mirage,Private owner
1407a9,ra-01961,pa46,Piper PA-46-500TP Malibu Merid,Private owner
1407b8,ra-01976,a139,AgustaWestland AW139,
1407ce,ra-01998,a139,AgustaWestland AW-139,Private owner
140af0,ra-02814,b350,Beech 300 Super King Air 350,Private owner
140afc,ra-02812,b350,Beech 300 Super King Air 350,Private owner
140afd,ra-02813,b350,Beech B300 Super King Air 350,Private owner
140b29,ra-02857,e135,Embraer ERJ-135BJ,RusJet
140b2a,ra-02858,e135,Embraer ERJ-135BJ,Jet Air Group
140ff6,ra-04086,ec35,Eurocopter EC135 T2+,Gazpromavia
140ffa,ra-04090,ec35,Eurocopter EC135 T2+,Gazpromavia
140ffb,ra-04091,ec35,Eurocopter EC135 T2+,Gazpromavia
14168f,ra-05775,r66,Robinson R66,Private owner
14169a,ra-05786,r66,Robinson R66,Private owner
14169e,ra-05790,r66,Robinson R-66,Private owner
1418d8,ra-06360,r66,Robinson R66 Turbine,Private owner
1418f9,ra-06393,r66,,
142278,ra-08824,an24,Antonov An-24PB,IrAero
142b11,ra-11025,an12,Antonov An-12,Kosmos Airlines
142c2e,ra-11310,an12,Antonov An-12BP,Irkut-Avia
142d09,ra-11529,an12,Antonov An-12,Airstars
142e5c,ra-11868,an12,Antonov An-12,ATRAN-Aviatrans Cargo Airlines
1465e6,ra-26086,an26,Antonov An-26,Pskovavia
146612,ra-26130,an26,Antonov An-26B,Private owner
14661e,ra-26142,an26,Antonov An-26,Pskovavia
14664f,ra-26191,an24,Antonov An-24,TsSKB-Progress
148afe,ra-02800,b350,Beech 300 Super King Air 350,Private owner
149c77,ra-85563,t154,Tupolev 154B-2,Russian Air Force
14a12b,ra-41259,a140,Antonov An-140,
14a54c,ra-42316,yk42,Yakovlev Yak-42D,Saratov Airlines
14a556,ra-42326,yk42,Yakovlev Yak-42D,Saratov Airlines
14a558,ra-42328,yk42,Yakovlev Yak-42D,Saratov Airlines
14a564,ra-42340,yk42,Yakovlev Yak-42D,KrasAvia
14a567,ra-42343,yk42,Yakovlev Yak-42,Izhavia
14a571,ra-42353,yk42,Yakovlev Yak-42,Grozny Avia
14a577,ra-42359,yk42,Yakovlev Yak-42D,KrasAvia
14a57a,ra-42362,yk42,Yakovlev Yak-42,Grozny Avia
14a57d,ra-42365,yk42,Yakovlev Yak-42,Grozny Avia
14a580,ra-42368,yk42,Yakovlev Yak-42,Izhavia
14a58a,ra-42378,yk42,Yakovlev Yak-42D,Saratov Airlines
14a58b,ra-42379,yk42,Yakovlev Yak-42,Grozny Avia
14a590,ra-42384,yk42,Yakovlev Yak-42D,Izhavia
14a591,ra-42385,yk42,Yakovlev Yak-42,Grozny Avia
14a594,ra-42388,yk42,Yakovlev Yak-42,UTair
14a595,ra-42389,yk42,Yakovlev Yak-42D,Saratov Airlines
14a5a6,ra-42406,yk42,Yakovlev Yak-42D,Kuban Airlines
14a5a8,ra-42408,yk42,Yakovlev Yak-42,Grozny Avia
14a5ab,ra-42411,yk42,Yakovlev Yak-42,RusJet
14a5ac,ra-42412,yk42,Yakovlev Yak-42,RusJet
14a5b2,ra-42418,yk42,Yakovlev Yak-42,Grozny Avia
14a5b5,ra-42421,yk42,Yakovlev Yak-42,Izhavia
14a5b7,ra-42423,yk42,Yakovlev Yak-42,RusJet
14a5b8,ra-42424,yk42,Yakovlev 142,Lukoil
14a5c0,ra-42432,yk42,Yakovlev Yak-42D,Saratov Airlines
14a5c5,ra-42437,yk42,Yakovlev Yak-42D,Gazpromavia
14a5c6,ra-42438,yk42,Yakovlev Yak-42D,Gazpromavia
14a5d2,ra-42450,yk42,Yakovlev Yak-42D,Izhavia
14a5d3,ra-42451,yk42,Yakovlev Yak-42,Gazpromavia
14a5d4,ra-42452,yk42,Yakovlev Yak-42,Gazpromavia
14a5d7,ra-42455,yk42,Yakovlev Yak-42D,Izhavia
14a5da,ra-42458,yk42,,
14a636,ra-42550,yk42,Yakovlev Yak-42D,Saratov Airlines
14b5a9,ra-46505,an24,Antonov An-24RV,Airlines of Mordovia
14d768,sp-asd,c172,Cessna 172S Skyhawk SP,Private owner
14f10b,ra-61707,a148,Antonov An-148,Rossiya - Special Flight Squad
14f10d,ra-61709,a148,Antonov An-148,Angara Airlines
14f10e,ra-61710,a148,Antonov An-148,Angara Airlines
14f10f,ra-61711,a148,Antonov An-148,Angara Airlines
14f110,ra-61712,a148,"Antonov An-148-100E,",Border Guard Service of Russia
14f111,ra-61713,a148,Antonov An-148,Angara Airlines
14f112,ra-61714,a148,Antonov An-148,Angara Airlines
14f113,ra-61715,a148,An-148-100B,MCHS Rossii
14f114,ra-61716,a148,Antonov An-148,Rossiya - Special Flight Squad
14f115,ra-61717,a148,Antonov An-148-100B,MCHS Rossili
14f116,ra-61718,a148,Antonov An-148,Russian Air Force
14f117,ra-61719,a148,Antonov An-148,Rossiya - Special Flight Squad
14f118,ra-61720,a148,Antonov An-148,Rossiya - Special Flight Squad
14f119,ra-61721,a148,Antonov An-148,Russian Air Force
14f11a,ra-61722,a148,Antonov An-148,Russian Air Force
14f11b,ra-61723,a148,Antonov An-148,Russian Air Force
14f4d7,n6079d,pa46,,
14fa0a,ra-64010,t204,Tupolev Tu-204-300A,Business Aero
14fa11,ra-64017,t204,Tupolev Tu-204-100,Red Wings
14fa14,ra-64020,t204,Tupolev Tu-204-100,Red Wings
14fa15,ra-64021,t204,Tupolev Tu-204-100C,Aviastar-TU
14fa18,ra-64024,t204,Tupolev Tu-204-100C,Aviastar-TU
14fa20,ra-64032,t204,Tupolev Tu-204-100C,Aviastar-TU
14fa2b,ra-64043,t204,Tupolev Tu-204-100,Red Wings
14fa2e,ra-64046,t204,Tupolev Tu-204-100,Red Wings
14fa31,ra-64049,t204,Tupolev Tu-204-100,Red Wings
14fa32,ra-64050,t204,Tupolev Tu-204-100,Red Wings
14fa39,ra-64057,t204,Tupolev Tu-204-300,Rossiya - Special Flight Squad
14fa3a,ra-64058,t204,Tupolev Tu-204-300,Rossiya - Special Flight Squad
14fbf8,ra-64504,t204,Tupolev TU214,Rossiya - Special Flight Squad
14fbf9,ra-64505,t204,Tupolev TU214,Rossiya - Special Flight Squad
14fbfa,ra-64506,t204,Tupolev TU214,Rossiya - Special Flight Squad
14fc02,rf-64514,t204,Tupolev Tu-214R,Russian Air Force
14fc03,ra-64515,t204,Tupolev Tu-214SR,Rossiya - Special Flight Squad
14fc04,ra-64516,t204,Tupolev Tu-214SR,Rossiya - Special Flight Squad
14fc05,ra-64517,t204,Tupolev Tu-214PU,Rossiya - Special Flight Squad
14fc06,ra-64518,t204,Tupolev Tu-204-100,Transaero
14fc07,rf-64519,t204,Tupolev Tu-214ON,Russian Air Force
14fc08,ra-64520,t204,Tupolev Tu-214PU,Rossiya - Special Flight Squad
14fc09,ra-64521,t204,Tupolev Tu-214,Rossiya - Special Flight Squad
14fc0a,ra-64522,t214,Tupolev Tu-214ON,Rossiya - Special Flight Squad
14fc0b,ra-64523,t204,Tupolev Tu-214PU,Rossiya - Special Flight Squad
14fc0d,rf-64525,t204,Tupolev Tu-214ON,Russian Air Force
14fc0e,ra-64526,t204,Tupolev Tu-214,Rossiya - Special Flight Squad
14fc0f,ra-64527,t204,Tupolev Tu-214SR,Rossiya - Special Flight Squad
14fe1c,ra-65052,t134,Tupolev Tu-134A-3,Turuhan Avia
14fe3b,ra-65083,t134,Tupolev Tu-134A-3,Azur Air
150011,rf-65553,t134,Tupolev TU-134AK,Ministry of Internal Affairs
15001d,ra-65565,t134,Tupolev Tu-134,UTair
150028,ra-65576,t134,Tupolev Tu-134,RusAir
150099,ra-65689,t134,Tupolev Tu-134A-3,Russian Air Force
15009a,ra-65690,t134,Tupolev Tu-134AK,Russian Air Force
1500a4,ra-65700,t134,Tupolev Tu-134B-3,Sirius Aero
1500b7,ra-65719,t134,Tupolev Tu-134A-3,Kosmos Airlines
1500be,ra-65726,t134,Tupolev Tu-134A-3,Kosmos Airlines
1500c1,ra-65729,t134,Tupolev Tu-134A,Russian Air Force
1500c5,ra-65733,t134,Tupolev Tu-134B-3,Russian Air Force
1500c9,ra-65737,t134,Tupolev Tu-134B-3,Meridian Air
150133,ra-74035,an72,,
150171,ra-65905,t134,Tupolev Tu-134A,Rossiya - Special Flight Squad
150177,ra-65911,t134,Tupolev Tu-134A,Rossiya - Special Flight Squad
15017d,ra-65917,t134,Tupolev Tu-134A-3M,Meridian Air
150187,rf-65153,t134,Tupolev Tu-134A,Russia - Federal Customs Agenc
150195,ra-65941,t134,Tupolev Tu-134A-3,Kosmos Airlines
320001,mm62246,p180,Piaggio P180 Avanti,Carabinieri
320002,mm62247,p180,Piaggio P180AM Avanti,Carabinieri
320003,mm62248,p180,Piaggio P180,Guardia di Finanza
320004,mm62249,p180,Piaggio P180 Avanti,Guardia di Finanza
320005,i-dvfn,p180,Piaggio P180 Avanti,Vigili del Fuoco
320006,mm62275,p180,Piaggio P180 Avanti,Italian Air Force
320007,mm62285,p180,Piaggio P-180 Avanti,Italian Air Force
32000c,mm62270,at45,ATR 42-500MP,Italian Coast Guard
32000d,mm81814,a139,AgustaWestland AW139,Italian Police
32000e,mm81815,a139,AgustaWestland AW139,Polizia
32000f,mm81817,a139,AgustaWestland AW139,Polizia di Stato
320010,mm81818,a139,AgustaWestland AW139,Polizia di Stato
320011,mm81819,a139,AgustaWestland AW139,Polizia di Stato
320013,mm62208,at45,ATR-42-500MP,Italian Coast Guard
320015,mm81838,a139,AgustaWestland AW139,Italian Police
320016,mm81839,a139,AgustaWestland AW139,Polizia di Stato
320019,mm62230,at42,ATR-42-500MP Surveyor aircraft,Guardian Di Finanza
3335c8,ep-mnh,a306,Airbus A300B4-603,Mahan Air
33fdde,csx62279,at76,ATR 72-600,Italian Air Force
33fde2,csx81848,a149,AgustaWestland AW149,Italian Air Force
33fe0c,mm81824,a139,AgustaWestland HH-139A,Italy - Air Force
33fe0d,15-xx,a139,AugustaWestland AW139,Italian Air Force
33fe0e,mmxxxxx,a139,AgustaWestland AW139,Italian Air Force
33fe14,mm62160,p180,Piaggio P180AM Avanti,Italian Air Force
33fe22,mm817xx,a139,AugustaWestland A139,Italian Air Force
33fe23,mm81798,a139,Agusta Westlands AW139,Aereonautica Militare
33fe28,mm62163,p180,Piaggio P-180AM Avanti,Italian Air Force
33fe39,mm62287,p180,Piaggio P180 Avanti,Italian Air Force
33fe3a,mm62286,p180,Piaggio P180AM Avanti,Italian Air Force
33fe77,mm62228,b762,Boeing 767-2EY,Italian Air Force
33fe79,mm62167,p180,Piaggio P-180E Avanti,Italian Air Force
33fe7a,mm62226,b762,Boeing 767-2EY,Italian Air Force
33fe7b,mm62164,p180,Piaggio P-180AM Avanti,Italian Air Force
33fe7d,mm62227,b762,Boeing 767-2EY,Italian Air Force
33fe92,mm62229,b762,Boeing 767-2EY,Italian Air Force
33fe9c,mm62159,p180,Piaggio P180AM Avanti,Italian Air Force
33fe9d,mm62274,p180,Piaggio P180 Avanti,Italian coast guard
33fe9e,mm62168,p180,Piaggio P180AM Avanti,Italian Air Force
33fec8,mm62169,p180,Piaggio P180AM Avanti,Italian Air Force
33ff13,mm55074,m339,Aermacchi MB-339CD,Italian Air Force
33ff14,mm55073,m339,Aermacchi MB-339CD,Italian Air Force
33ff17,mm55069,m339,Aermacchi 	MB-339CD,Italian Air Force
33ff18,mm55068,m339,Aermacchi MB-339CD,Italian Air Force
33ff19,mm55067,m339,Aermacchi MB-339CD,Italian Air Force
33ff1b,mm55065,m339,Aermacchi MB-339CD,Italian Air Force
33ff1c,mm55064,m339,Aermacchi MB-339CD,Italian Air Force
33ff1e,mm55062,m339,Aermacchi MB-339CD,Italian Air Force
33ff75,mm62246,p180,Piaggio P180 Avanti,Carabinieri
33ffaf,mm62243,a319,Airbus A319-112CJ,Italian Air Force
33ffb3,mm62224,c27j,Alenia C-27J Spartan,Italian Air Force
33ffb5,mm62222,c27j,Alenia C-27J Spartan,Italian Air Force
33ffb6,mm62221,c27j,Alenia C-27J Spartan,Italian Air Force
33ffb7,mm62220,c27j,Alenia C-27J Spartan,Italian Air Force
33ffb8,mm62219,c27j,Alenia C-27J Spartan,Italian Air Force
33ffb9,mm62213,p180,Piaggio P180AM Avanti,Italian Air Force
33ffba,mm62211,p180,Piaggio P180AM Avanti,Italian Navy
33ffbb,mm62212,p180,Piaggio P180AM Avanti,Italian Air Force
33ffc1,mm62209,a319,Airbus A319-115CJ,Italian Air Force
33ffc2,mm55091,m339,Aermacchi MB-339CD,Italian Air Force
33ffc4,mm55089,m339,Aermacchi MB-339CD,Italian Air Force
33ffc9,mm55084,m339,,
33ffcc,mm55081,m339,Aermacchi MB-339CD,Italian Air Force
33ffcd,mm55080,m339,Aermacchi 	MB-339CD,Aeronautica Militare Italiana
33ffce,mm55079,m339,Aermacchi MB-339CD,Italian Air Force
33ffd1,mm62207,p180,Piaggio	P-180AM Avanti,Italian Air Force
33ffd2,mm62206,p180,Piaggio P-180AM Avanti,Italian Air Force
33ffd3,mm62205,p180,Piaggio P-180AM Avanti,Italian Air Force
33ffd4,mm62204,p180,Piaggio P180AM Avanti,Italian Air Force
33ffd5,mm62203,p180,Piaggio P180AM Avanti,Italian Air Force
33ffd6,mm62202,p180,Piaggio P180AM Avanti,Italian Air Force
33ffd8,mm62201,p180,Piaggio P180AM Avanti,Italian Air Force
33ffd9,mm62200,p180,Piaggio P180AM Avanti,Italian Air Force
33ffdb,csx62127,c27j,Alenia C-27J Spartan,Italian Air Force
33ffdc,06,c27j,Alenia C-27J Spartan,Lithuanian Air Force
33fff8,mm55085,m339,,
33fff9,mm62174,a319,Airbus A319-115CJ,Italian Air Force
340734,jy-ayt,a321,Airbus A321-231,Royal Jordanian Airlines
341119,ec-ftr,b752,Boeing 757-256,Cygnus Air
341147,ec-ggs,a343,Airbus A340-313,Iberia
341148,ec-ghx,a343,Airbus A340-313,Iberia
341149,ec-gjt,a343,Airbus A340-313,Iberia
34114a,ec-gle,a343,Airbus A340-313,Iberia
34114d,ec-gup,a343,Airbus A340-313,Iberia
34114e,ec-guq,a343,Airbus A340-313,Iberia
3411c3,t.17-3,b703,,
34124b,ec-gyi,crj2,Canadair CRJ-200,Air Nostrum
3412c2,ec-gza,crj2,Canadair CRJ-200,Air Nostrum
3412d3,ec-hds,b752,Boeing 757-256,Privilege Style
34130d,ec-elt,b462,BAe 146-200QT,TNT Airways
34130e,ec-fze,b462,BAe 146-200Q,TNT Airways
34134d,ec-huh,a321,Airbus A321-211,Iberia
34134e,ec-hui,a321,Airbus A321-211,Iberia
341395,ec-hek,crj2,Canadair CRJ-200,Air Nostrum
3413c3,ec-hgr,a319,Airbus A319-111,Iberia
3413c6,ec-hgv,a343,Airbus A340-313,Iberia
3413ca,ec-hgz,a320,Airbus A320-214,Vueling
3413cb,ec-hha,a320,Airbus A320-214,Vueling
3413d7,ec-hhi,crj2,Canadair CRJ-200,Air Nostrum
34148d,ec-hko,a319,Airbus A319-111,Iberia
3414c4,ec-hpr,crj2,Canadair CRJ-200,Air Nostrum
3414c8,ec-hqi,a320,Airbus A320-214,Vueling
3414c9,ec-hqj,a320,Airbus A320-214,Vueling
3414cb,ec-hql,a320,Airbus A320-214,Vueling
3414d4,ec-gqf,at72,ATR 72-202,Binter Canarias
3414d5,ec-grp,at72,ATR 72-202,Binter Canarias
3414d6,ec-gru,at72,ATR 72-202,Binter Canarias
341507,ec-hsh,crj2,Canadair CRJ-200,Air Nostrum
34150e,ec-igk,a321,Airbus A321-211,Iberia
34150f,ec-htd,a320,Airbus A320-214,Vueling
34154a,ec-ida,b738,Boeing 737-86Q,Air Europa
341583,ec-idt,b738,Boeing 737-86Q,Air Europa
3415ce,ec-ief,a320,Airbus A320-214,Iberia
3415cf,ec-ieg,a320,Airbus A320-214,Iberia
34160e,ec-iii,b738,Boeing 737-86Q,Air Europa
341646,ec-ijn,a321,Airbus A321-211,Iberia
34164a,ec-ino,a346,Airbus A340-642,Iberia
34164b,ec-iob,a346,Airbus A340-642,Iberia
34164c,ec-iqr,a346,Airbus A340-642,Iberia
341658,up-cj011,crj2,Canadair CL-600-2B19 Regional,SCAT Air
341682,ec-ilq,a320,Airbus A320-214,Iberia Express
341683,ec-ilo,a321,Airbus A321-211,Iberia
341697,up-cj012,crj2,Canadair CRJ-200,Air Nostrum
341699,ec-inv,at72,ATR 72-202,Swiftair
342058,ec-isn,b738,Boeing 737-86Q,Air Europa
342059,ec-ilp,a321,Airbus A321-211,Iberia
342086,ec-isy,b752,Boeing 757-256,Privilege Style
342087,ec-irv,c208,Cessna 208B Super Cargo Master,Private owner
34208a,ec-isx,at43,ATR 42-300,Swiftair
34208f,ec-itn,a321,Airbus A321-211,Iberia
342090,ec-ilr,a320,Airbus A320-214,Iberia
342091,ec-ils,a320,Airbus A320-214,Iberia
3420ca,ec-ixd,a321,Airbus A321-211,Iberia
3420cb,ec-izh,a320,Airbus A320-214,Iberia
3420cc,ec-izr,a320,Airbus A320-214,Iberia
3420ce,ec-jaz,a319,Airbus A319-111,Iberia
3420cf,ec-jni,a321,Airbus A321-211,Iberia
3420d1,ec-mjy,crj2,Canadair CRJ-200,Air Nostrum
3420d5,ec-ivp,at43,ATR 42-300,Swiftair
342104,ec-jfh,a320,Airbus A320-214,Iberia Express
342105,ec-jfg,a320,Airbus A320-214,Iberia Express
342106,ec-jei,a319,Airbus A319-111,Iberia
342107,ec-jdm,a321,Airbus A321-211,Iberia
342108,ec-jdl,a319,Airbus A319-111,Iberia
342109,ec-izx,a346,Airbus A340-642,Iberia
34210a,ec-izy,a346,Airbus A340-642,Iberia
34210b,ec-jba,a346,Airbus A340-642,Iberia
34210d,ec-iyh,at72,ATR 72-212,Swiftair
342112,d4-cca,at75,ATR 72-500,Binter Canarias
342114,ec-izd,a320,Airbus A320-214,Vueling
342117,ec-jap,b738,Boeing 737-85P,Air Europa
342118,ec-jbj,b738,Boeing 737-8BK,Air Europa
342119,ec-jbk,b738,Boeing 737-85P,Air Europa
34211a,ec-jbl,b738,Boeing 737-85P,Air Europa
342140,ec-jad,at43,ATR 72-201,Swiftair
342141,ec-jhk,b738,Boeing 737-85P,Air Europa
342142,ec-jhl,b738,Boeing 737-85P,Air Europa
342149,ec-jad,at43,ATR 72-201,Swiftair
34214a,ec-izo,at75,ATR 72-500,Binter Canarias
34214b,ec-ish,pc12,Pilatus PC-12/45,Private owner
34214c,ec-jah,at75,ATR 72-500,Binter Canarias
342153,cx-lss,sw4,Swearingen SA227AC Metro III,Air Class Lineas Aereas
342154,ec-jbn,at43,ATR 42-300,Swiftair
342155,ec-jbx,at43,ATR 42-300F,Swiftair
342156,ec-jbi,at75,ATR 72-500,Binter Canarias
342185,ec-mjz,crj2,Canadair CRJ-200,Air Nostrum
342188,ec-jfn,a320,Airbus A320-214,Iberia
342189,ec-jej,a321,Airbus A321-211,Iberia
34218a,ec-jcy,a346,Airbus A340-642,Iberia
34218b,ec-jcz,a346,Airbus A340-642,Iberia
34218e,ec-hch,sw4,Fairchild Swearingen SA227-AC,Aero Nova
342194,ec-jff,a320,Airbus A320-214,Vueling
342195,ec-jgm,a320,Airbus A320-214,Vueling
3421c2,ec-jcu,sw4,Swearingen SA227AC Metro III,Aeronova
3421d3,ec-jeh,at75,ATR 72-500,Binter Canarias
3421d6,ec-hak,e120,Embraer EMB-120RT Brasilia,Swiftair
3421d7,ec-hcf,e120,Embraer EMB-120RT Brasilia,Swiftair
3421d8,ec-hfk,e120,Embraer EMB-120RT Brasilia,Swiftair
3421d9,ec-hmy,e120,Embraer EMB-120RT Brasilia,Swiftair
3421da,ec-hts,e120,Embraer EMB-120RT Brasilia,Swiftair
342201,ec-imx,e120,Embraer EMB-120RT Brasilia,Swiftair
342202,ec-jbd,e120,Embraer EMB-120RT Brasilia,Swiftair
342203,ec-jbe,e120,Embraer EMB-120RT Brasilia,Swiftair
342207,ec-jev,at75,ATR 72-500,Binter Canarias
342208,ec-hjc,sw4,Fairchild Swearingen SA-226-TC,Zorex Air Transport
342210,ec-jgs,a321,Airbus A321-211,Iberia
342211,ec-jdr,a321,Airbus A321-211,Iberia
342212,ec-jfx,a346,Airbus A340-642,Iberia
342214,ec-gud,b190,Beech 1900C,Serair
34221a,ec-jgb,be20,Beech B200 Super King Air,Private owner
34224e,ec-jli,a321,Airbus A321-211,Iberia
342250,ec-jle,a346,Airbus A340-642,Iberia
342296,ec-irs,sw4,Fairchild Swearingen SA-227-BC,CanaryFly
3422c6,ec-jnf,b738,Boeing 737-85P,Air Europa
3422c9,ec-jpf,a332,Airbus A330-202,Air Europa
3422ca,ec-jqg,a332,Airbus A330-202,Air Europa
3422cb,ec-jqq,a332,Airbus A330-202,Air Europa
3422d3,ec-htu,c212,Casa C-212-400MP Aviocar,MAGRAMA - SecretarÃ­a General
3422d7,ec-jkh,e120,Embraer EMB-120RT Brasilia,Swiftair
342306,ec-gbb,be20,Beech B200 Super King Air,Private owner
34230a,ec-jnq,a346,Airbus A340-642,Iberia
34230c,ec-jpu,a346,Airbus A340-642,Iberia
342388,ec-jnb,crj9,Canadair CRJ-900,Air Nostrum
342389,ec-jip,sw4,Fairchild Swearingen SA-226-TC,Flightline
342392,ec-jnx,crj2,Canadair CRJ-200,Air Nostrum
342396,ec-jsy,a320,Airbus A320-214,Vueling
342397,ec-jtq,a320,Airbus A320-214,Vueling
342398,ec-jtr,a320,Airbus A320-214,Vueling
3423c3,ec-jqz,a321,Airbus A321-211,Iberia
3423c4,ec-jre,a321,Airbus A321-211,Iberia
3423c6,ec-jsk,a320,Airbus A320-214,Iberia Express
3423c7,ec-joy,crj2,Canadair CRJ-200,Air Nostrum
3423d8,ec-jqf,at72,Aerospatiale ATR72-211F,Swiftair
3423d9,ec-hla,a310,Airbus A310-324,Airbus
342401,ec-jql,at75,ATR 72-500,Binter Canarias
34240e,ec-gzg,b190,Beech 1900C-1,Serair
342418,ec-jve,a319,Airbus A319-111,Vueling
34241a,ec-jxj,a319,Airbus A319-111,Iberia
342441,ec-jxv,a319,Airbus A319-111,Vueling
342443,ec-gps,sw4,Swearingen SA227AC Metro III,Euro Continental Air
342450,ec-gqa,e120,Embraer EMB-120RT Brasilia,Swiftair
342457,ec-jts,crj9,Canadair CRJ-900,Air Nostrum
342458,ec-jtt,crj9,Canadair CRJ-900,Air Nostrum
342459,ec-jtu,crj9,Canadair CRJ-900,Air Nostrum
342488,ec-jyc,sw4,Fairchild Swearingen SA-226-TC,Zorex Air Transport
3424c2,ec-jxf,at72,ATR 72-212,Swiftair
3424c9,ec-jxz,crj9,Canadair CRJ-900,Air Nostrum
3424ca,ec-jya,crj9,Canadair CRJ-900,Air Nostrum
3424ce,ec-kcg,b738,Boeing 737-85P,Air Europa
3424d0,ec-jzl,a332,Airbus A330-203,Air Europa
3424d1,ec-jyx,a320,Airbus A320-214,Vueling
3424d2,ec-jzi,a320,Airbus A320-214,Vueling
3424d4,ec-kdh,a320,Airbus A320-214,Vueling
3424d5,ec-kdg,a320,Airbus A320-214,Vueling
34250a,ec-jzm,a321,Airbus A321-212,Iberia
34250c,ec-kbx,a319,Airbus A319-111,Iberia
342519,ec-jyv,crj9,Canadair CRJ-900,Air Nostrum
342541,ec-ixl,sw4,Swearingen SA227AC Metro III,Aeronova
342544,ec-kai,at43,ATR 42-300F,Swiftair
342545,ec-kad,at72,ATR 72-202,Antrak Air
342548,ec-jzq,a320,Airbus A320-214,Vueling
34254d,ec-jzs,crj9,Canadair CRJ-900,Air Nostrum
34254e,ec-jzt,crj9,Canadair CRJ-900,Air Nostrum
34254f,ec-jzu,crj9,Canadair CRJ-900,Air Nostrum
342550,ec-jzv,crj9,Canadair CRJ-900,Binter Canarias
342581,ec-kcu,a320,Airbus A320-216,Vueling
342582,ec-kdt,a320,Airbus A320-216,Vueling
342589,ec-ivz,p46t,Piper PA-46-500TP Malibu,Private owner
34258f,ec-kdx,a320,Airbus A320-216,Vueling
342590,ec-kfi,a320,Airbus A320-216,Vueling
342591,ec-khn,a320,Airbus A320-216,Vueling
342592,ec-kjd,a320,Airbus A320-216,Vueling
342594,ec-jsn,c172,Cessna 172R Skyhawk,Private owner
3425c5,ec-kob,ec35,Eurocopter EC135 P2+,Policia Nacional
342607,ec-gfk,sw4,Fairchild Swearingen SA-226-AT,Flightline
34260e,ec-khm,a319,Airbus A319-111,Iberia
342610,ec-kaa,sr22,Cirrus SR22,Private owner
342612,ec-kea,sr22,Cirrus SR22,Private owner
342615,fab2806,cn95,CASA C-105A Amazonas,Brazilian Air Force
342616,fab2807,cn95,CASA C-105A Amazonas,Brazilian Air Force
